"","id","name","lat","long","date","areaSqKm","boundary","initGovt","initRebel","initCiv","initOther","targetGovt","targetRebel","targetCiv","targetOther","direct","hometownRel","governanceApproval","difficultFindJob","stdLiving","orgs","year","yearsSince1969"
"141",8060,"Armagh",54.176946,-6.341837,19740710,1368.053543,1,0,0,0,0,0,0,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1974,5
"142",4248,"Armagh",54.42554855,-6.438469887,19710804,1368.053543,0,0,0,1,0,0,0,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1971,2
"143",6678,"Armagh",54.34640121,-6.656970024,19730325,1368.053543,0,0,0,0,0,1,0,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1973,4
"144",3108,"Armagh",54.34640121,-6.656970024,19760612,1368.053543,0,1,0,0,0,0,0,1,0,1,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1976,7
"145",5884,"Armagh",54.34640121,-6.656970024,19720927,1368.053543,0,0,0,0,0,0,0,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1972,3
"146",5277,"Armagh",54.34640121,-6.656970024,19720529,1368.053543,0,0,0,0,0,0,0,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1972,3
"147",1721,"Armagh",54.34640121,-6.656970024,19860522,1368.053543,0,0,1,0,0,1,0,0,0,1,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1986,17
"148",7514,"Armagh",54.29753876,-6.521490097,19731109,1368.053543,0,0,0,0,0,1,0,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1973,4
"149",1447,"Armagh",54.193199,-6.37496,19790417,1368.053543,0,0,1,0,0,1,0,0,0,1,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1979,10
"150",7238,"Armagh",54.34640121,-6.656970024,19730821,1368.053543,0,1,0,0,0,0,0,0,0,1,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1973,4
"151",5721,"Armagh",54.34640121,-6.656970024,19720826,1368.053543,0,1,0,0,0,0,0,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1972,3
